timestamp,open,high,low,close,adjusted close,volume,dividend amount
2011-11-04,185.5900,187.7800,180.7400,186.3800,118.0070,22918900,0.0000
2011-10-28,181.5100,188.0700,179.0300,187.4500,118.6844,28719000,0.0000
2011-10-21,189.7100,190.1600,176.1700,181.6300,114.9995,46796000,0.0000
2011-10-14,183.0000,190.5300,182.9000,190.5300,120.6345,26220900,0.0000
2011-10-07,174.3600,183.7200,168.8800,182.3900,115.4807,38117800,0.0000
2011-09-30,170.9600,180.9100,169.8600,174.8700,110.7194,36868400,0.0000
2011-09-23,169.5000,177.6700,165.7600,169.3400,107.2180,31790500,0.0000
2011-09-16,159.6400,172.9900,158.7600,172.9900,109.5291,33464200,0.0000
2011-09-09,163.0600,169.5800,160.8100,161.3700,102.1718,25328900,0.0000
2011-09-02,170.5800,173.7200,166.0000,166.9800,105.7238,26288300,0.0000
2011-08-26,161.3500,169.3300,157.6200,169.1400,107.0914,33789200,0.0000
2011-08-19,171.3200,174.0000,157.1300,157.5400,99.7468,47511700,0.0000
2011-08-12,168.8300,172.6100,161.8500,168.2000,106.4963,56678700,0.7500
2011-08-05,182.6000,183.6900,166.5200,172.9800,109.0308,41229200,0.0000
2011-07-29,183.8900,184.9600,179.7300,181.8500,114.6216,26294400,0.0000
2011-07-22,174.7300,185.6300,173.5800,185.1800,116.7205,37500900,0.0000
2011-07-15,174.9000,176.3200,173.8400,175.5400,110.6444,23838300,0.0000
2011-07-08,173.5200,177.7700,173.5200,176.4900,111.2431,20777900,0.0000
2011-07-01,165.7400,174.6500,165.2100,174.5400,110.0140,23400700,0.0000
2011-06-24,163.7000,166.8100,163.5900,165.0700,104.0450,22978000,0.0000
2011-06-17,164.4400,165.1000,161.5200,164.4400,103.6479,29385600,0.0000
2011-06-10,164.7600,165.9600,162.8700,163.1800,102.8537,20640600,0.0000
2011-06-03,168.4400,169.8900,164.1300,165.0500,104.0324,23342600,0.0000
2011-05-27,168.5800,168.6900,165.9000,167.5000,105.5767,22718600,0.0000
2011-05-20,169.8100,171.4100,166.5300,170.1600,107.2533,25997900,0.0000
2011-05-13,168.3900,172.7700,167.8200,169.9200,107.1020,23498700,0.0000
2011-05-06,172.1100,173.5400,167.5000,168.8900,106.4528,29465600,0.7500
2011-04-29,167.6500,173.0000,167.2300,170.5800,107.0427,26858900,0.0000
2011-04-21,164.6400,168.4500,162.1900,168.2800,105.5994,29758000,0.0000
2011-04-15,163.4400,166.3400,162.3000,166.2100,104.3004,22168000,0.0000
